 radius= 4.1038E+01 lambda= 5.3200E-01 x= 6.4608E+02

Qext= 2.0331E+00 Qsca= 2.0331E+00 Qabs= 0.0000E+00 <cos>= 9.3873E-01
                 Qbk = 1.4257E+00
  theta       S11           POL           S33           S34
   0.00   4.50124E+10  -0.00000E+00   4.50124E+10   0.00000E+00
   0.71   1.92461E+08  -1.38252E-03   1.92459E+08  -8.73987E+05
   1.42   1.75447E+07   2.60023E-02   1.75264E+07   6.60616E+05
   2.13   9.54318E+05   3.25404E-02   9.53813E+05  -4.53219E+02
   2.83   6.47912E+06   4.67633E-02   6.47154E+06  -8.01479E+04
   3.54   6.14218E+05  -9.89528E-02   6.10962E+05  -1.71903E+04
   4.25   5.94473E+06   2.25264E-02   5.94307E+06  -4.15646E+04
   4.96   2.05057E+06   1.41034E-02   2.04567E+06  -1.38721E+05
   5.67   2.86158E+06  -8.10182E-03   2.86131E+06   3.16321E+04
   6.38   5.50650E+06   3.31893E-02   5.50304E+06   6.81270E+04
   7.09   3.84497E+06   2.05246E-02   3.84405E+06  -2.87108E+04
   7.80   2.22852E+06  -4.44031E-02   2.22632E+06   3.51562E+02
   8.50   2.47120E+06  -4.85643E-02   2.46811E+06   2.91630E+04
   9.21   3.36354E+06   2.01172E-03   3.36347E+06   2.14222E+04
   9.92   3.91891E+06   5.78758E-03   3.91664E+06   1.31231E+05
  10.63   3.45864E+06  -1.63446E-02   3.45811E+06   2.23160E+04
  11.34   3.46178E+06   2.32187E-02   3.46074E+06   2.79954E+04
  12.05   3.06861E+06  -1.83754E-02   3.06735E+06   6.75099E+04
  12.76   2.95869E+06   1.58360E-02   2.95827E+06  -1.71856E+04
  13.46   2.61348E+06  -2.13549E-02   2.61194E+06   7.01745E+04
  14.17   2.32003E+06   1.00134E-02   2.31984E+06  -1.83597E+04
  14.88   1.69102E+06  -4.23099E-02   1.68893E+06   4.42596E+04
  15.59   1.24231E+06   1.42772E-02   1.24197E+06   2.27199E+04
  16.30   1.01349E+06  -6.08601E-02   1.01111E+06  -3.19679E+04
  17.01   1.23268E+06  -4.70285E-02   1.23118E+06   1.82639E+04
  17.72   1.68753E+06   1.34881E-02   1.68658E+06  -5.19226E+04
  18.43   1.50005E+06  -2.24179E-02   1.49960E+06  -1.50320E+04
  19.13   8.36823E+05  -2.74231E-02   8.33533E+05   7.04932E+04
  19.84   7.22106E+05  -5.08064E-02   7.21110E+05  -9.61700E+03
  20.55   1.19417E+06  -1.70706E-02   1.19051E+06  -9.12100E+04
  21.26   1.07149E+06  -7.19442E-04   1.07102E+06   3.16176E+04
  21.97   5.30513E+05  -7.33870E-02   5.26264E+05   5.45399E+04
  22.68   6.61477E+05  -4.35427E-02   6.58527E+05  -5.53563E+04
  23.39   9.72751E+05   2.32341E-02   9.72314E+05  -1.83773E+04
  24.09   5.40324E+05  -9.97299E-02   5.35370E+05   4.92410E+04
  24.80   4.69511E+05  -7.20651E-02   4.66865E+05  -3.65016E+04
  25.51   6.99365E+05   3.86760E-02   6.98668E+05   1.56147E+04
  26.22   3.77634E+05  -1.20607E-01   3.74350E+05   1.98951E+04
  26.93   4.33066E+05  -3.86740E-02   4.30573E+05  -4.32687E+04
  27.64   6.16651E+05  -3.42934E-02   6.15214E+05   3.63692E+04
  28.35   2.48632E+05  -1.65931E-01   2.45142E+05   4.64154E+03
  29.06   4.55324E+05   1.63112E-03   4.55313E+05  -3.01773E+03
  29.76   3.47641E+05  -2.97358E-02   3.46912E+05   1.99981E+04
  30.47   2.00409E+05  -8.38531E-02   1.98819E+05  -1.87713E+04
  31.18   4.14411E+05  -6.46599E-03   4.14075E+05  -1.64868E+04
  31.89   1.68509E+05  -1.69040E-01   1.65739E+05   1.07033E+04
  32.60   3.05225E+05  -7.67638E-02   3.02314E+05  -3.49257E+04
  33.31   2.50934E+05  -3.27040E-02   2.49021E+05   2.98124E+04
  34.02   1.59794E+05  -2.31039E-01   1.54560E+05  -1.68036E+04
  34.72   2.69618E+05   5.19522E-02   2.68946E+05   1.28694E+04
  35.43   1.09692E+05  -2.79696E-01   1.04773E+05   1.06615E+04
  36.14   1.97690E+05   7.37947E-02   1.96662E+05  -1.38748E+04
  36.85   1.45582E+05  -1.09370E-01   1.43178E+05   2.09951E+04
  37.56   1.03773E+05  -1.00113E-02   1.01488E+05  -2.16304E+04
  38.27   1.88247E+05  -2.93947E-02   1.87914E+05   9.71265E+03
  38.98   4.95120E+04  -3.01309E-01   4.62957E+04  -9.25114E+03
  39.69   1.82147E+05  -2.73076E-02   1.81724E+05  -1.13802E+04
  40.39   4.76276E+04  -3.36507E-01   4.40749E+04   8.30189E+03
  41.10   1.31505E+05  -6.79744E-02   1.29006E+05  -2.38991E+04
  41.81   7.16165E+04  -1.15664E-01   6.86192E+04   1.87542E+04
  42.52   7.05928E+04  -2.08166E-01   6.67090E+04  -1.78130E+04
  43.23   8.66860E+04  -3.59490E-02   8.51512E+04   1.59379E+04
